graph,type,n,m,algorithm,trials,mean,median,min,max,total_time_s
dsjc250_5,DIMACS,250,15668,GREEDY,30,42.53,43.0,40,45,0.0309
dsjc250_5,DIMACS,250,15668,SL,30,46.0,46.0,46,46,0.3462
dsjc250_5,DIMACS,250,15668,LF,30,40.27,40.0,38,42,0.0329
dsjr500_1c,DIMACS,500,121275,GREEDY,30,108.4,108.0,103,113,0.2167
dsjr500_1c,DIMACS,500,121275,SL,30,115.0,115.0,115,115,7.4684
dsjr500_1c,DIMACS,500,121275,LF,30,100.27,100.0,97,103,0.2221
flat300_28_0,DIMACS,300,21695,GREEDY,30,46.93,47.0,45,49,0.0423
flat300_28_0,DIMACS,300,21695,SL,30,49.0,49.0,49,49,0.5667
flat300_28_0,DIMACS,300,21695,LF,30,44.77,45.0,43,47,0.0449
flat1000_50_0,DIMACS,1000,245000,GREEDY,30,124.13,124.0,121,127,0.4866
flat1000_50_0,DIMACS,1000,245000,SL,30,128.0,128.0,128,128,15.1513
flat1000_50_0,DIMACS,1000,245000,LF,30,122.13,122.0,121,124,0.4911
latin_square,DIMACS,900,307350,GREEDY,30,150.47,151.0,145,156,0.6071
latin_square,DIMACS,900,307350,SL,30,213.0,213.0,213,213,0.5716
latin_square,DIMACS,900,307350,LF,30,150.6,150.5,145,154,0.615
le450_25c,DIMACS,450,17343,GREEDY,30,36.13,36.0,35,38,0.0381
le450_25c,DIMACS,450,17343,SL,30,45.0,45.0,45,45,0.4552
le450_25c,DIMACS,450,17343,LF,30,30.57,31.0,30,32,0.043
le450_25d,DIMACS,450,17425,GREEDY,30,35.97,36.0,33,38,0.0384
le450_25d,DIMACS,450,17425,SL,30,46.0,46.0,46,46,0.4665
le450_25d,DIMACS,450,17425,LF,30,30.77,31.0,29,32,0.0433
r250_5,DIMACS,250,14849,GREEDY,30,78.77,79.0,76,83,0.0322
r250_5,DIMACS,250,14849,SL,30,97.0,97.0,97,97,0.3898
r250_5,DIMACS,250,14849,LF,30,71.23,71.0,70,73,0.0331
T_50_100,generated,50,100,GREEDY,150,4.62,5.0,4,6,0.002
T_50_100,generated,50,100,SL,150,4.6,4.0,4,6,0.0754
T_50_100,generated,50,100,LF,150,4.1,4.0,4,5,0.0039
T_50_500,generated,50,495,GREEDY,150,11.13,11.0,9,13,0.0062
T_50_500,generated,50,495,SL,150,11.87,12.0,10,13,0.0964
T_50_500,generated,50,495,LF,150,10.15,10.0,9,12,0.008
T_50_800,generated,50,795,GREEDY,150,16.55,16.0,14,19,0.0093
T_50_800,generated,50,795,SL,150,17.47,18.0,16,20,0.1163
T_50_800,generated,50,795,LF,150,15.26,15.0,14,18,0.011
T_200_1600,generated,200,1621,GREEDY,150,9.74,10.0,9,11,0.0208
T_200_1600,generated,200,1621,SL,150,10.67,11.0,10,12,0.3612
T_200_1600,generated,200,1621,LF,150,8.69,9.0,8,10,0.028
T_200_8000,generated,200,7935,GREEDY,150,28.98,29.0,27,32,0.081
T_200_8000,generated,200,7935,SL,150,31.53,31.0,29,34,0.9198
T_200_8000,generated,200,7935,LF,150,27.11,27.0,25,31,0.0887
T_200_12800,generated,200,12776,GREEDY,150,46.91,47.0,42,51,0.1281
T_200_12800,generated,200,12776,SL,150,50.2,50.0,46,55,1.6026
T_200_12800,generated,200,12776,LF,150,44.71,44.0,41,50,0.1364
T_500_10000,generated,500,10039,GREEDY,45,16.96,17.0,16,18,0.0342
T_500_10000,generated,500,10039,SL,45,18.67,19.0,17,20,0.456
T_500_10000,generated,500,10039,LF,45,15.58,16.0,14,17,0.0407
T_500_50000,generated,500,49658,GREEDY,45,57.51,57.0,55,61,0.1474
T_500_50000,generated,500,49658,SL,45,61.8,61.0,59,66,2.5713
T_500_50000,generated,500,49658,LF,45,55.13,55.0,52,59,0.1535
T_500_80000,generated,500,78912,GREEDY,45,95.38,95.0,89,102,0.2324
T_500_80000,generated,500,78912,SL,45,101.13,101.0,98,107,5.3355
T_500_80000,generated,500,78912,LF,45,91.96,91.0,86,98,0.2393
